signal_date,execution_date,expected_members,eligible_members,missing_members,coverage,selected,selected_momentum,target_invested_weight,parameters,coverage_gate_passed,turnover,transaction_cost,portfolio_value_before_trade
2017-12-29,2018-01-02,30,30,[],1.0,"['CAT', 'WMT', 'INTC', 'NKE', 'BA']","{'CAT': 0.2711083867467867, 'WMT': 0.2704172775413989, 'INTC': 0.21936863236609128, 'NKE': 0.2103712059260714, 'BA': 0.16634044411943893}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 5}",True,0.9990009990010001,0.000999000999001,1.0
2018-01-31,2018-02-01,30,30,[],1.0,"['BA', 'NKE', 'WMT', 'CSCO', 'HD']","{'BA': 0.37425279277142387, 'NKE': 0.2384039601380432, 'WMT': 0.2324533166982361, 'CSCO': 0.2294313968816537, 'HD': 0.22144890994699584}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 5}",True,0.8039010241265739,0.0008655672380230517,1.0767087141896319
2018-02-28,2018-03-01,30,30,[],1.0,"['BA', 'CSCO', 'JPM', 'RTX', 'CAT']","{'BA': 0.37057744824843275, 'CSCO': 0.2235965987929589, 'JPM': 0.18555746583960397, 'RTX': 0.1568355669221908, 'CAT': 0.13235423772626875}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 5}",True,1.1997600479902222,0.0012598826379233083,1.050112178709235
2018-03-29,2018-04-02,30,30,[],1.0,"['INTC', 'CSCO', 'BA', 'MSFT', 'NKE']","{'INTC': 0.13713559164524658, 'CSCO': 0.1205894977202131, 'BA': 0.11460166273737693, 'MSFT': 0.06987205790699202, 'NKE': 0.05863339491141106}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 5}",True,1.216015609470103,0.0011947364369023598,0.9825009050854078
2018-04-30,2018-05-01,30,30,[],1.0,"['CSCO', 'INTC', 'V', 'NKE', 'MSFT']","{'CSCO': 0.04191470374867312, 'INTC': 0.0398201151937001, 'V': 0.01811008798354119, 'NKE': 0.015046952212646625, 'MSFT': 0.00041810728060420743}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 5}",True,0.4100806741955562,0.00041233238838629183,1.005490905405754
2018-05-31,2018-06-01,30,30,[],1.0,"['INTC', 'CVX', 'MRK', 'XOM', 'V']","{'INTC': 0.16050530217456083, 'CVX': 0.11909917921031599, 'MRK': 0.1182601429926724, 'XOM': 0.0912690303218524, 'V': 0.08745882090848522}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 5}",True,1.2019278768299464,0.0012658548552568034,1.0531870336475286
2018-06-29,2018-07-02,30,29,['WBA'],0.9666666666666667,"['NKE', 'MRK', 'XOM', 'CVX', 'HD']","{'NKE': 0.24614070578017944, 'MRK': 0.14828393248049165, 'XOM': 0.1413349041973455, 'CVX': 0.13624778991428954, 'HD': 0.13471575174405648}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 5}",True,0.8001600320061343,0.0008242883994543945,1.0301544272184733
2018-07-31,2018-08-01,30,29,['WBA'],0.9666666666666667,"['RTX', 'MRK', 'DIS', 'PFE', 'PG']","{'RTX': 0.14749327948809388, 'MRK': 0.14486095577300717, 'DIS': 0.14404176007606528, 'PFE': 0.1389771093595451, 'PG': 0.13415821378371584}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 5}",True,1.5990405756544064,0.001666502164121039,1.0421887908873257
2018-08-31,2018-09-04,30,29,['WBA'],0.9666666666666667,"['AAPL', 'VZ', 'PFE', 'WMT', 'PG']","{'AAPL': 0.19078496442623383, 'VZ': 0.15015375515994744, 'PFE': 0.14879409288107426, 'WMT': 0.1287375858482056, 'PG': 0.12837478744552677}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 5}",True,1.19976004799006,0.0012713157848385827,1.0596417066632604
2018-09-28,2018-10-01,30,29,['WBA'],0.9666666666666667,"['PFE', 'AAPL', 'MRK', 'MSFT', 'JNJ']","{'PFE': 0.22506202953642918, 'AAPL': 0.2237681083807086, 'MRK': 0.17667259065845187, 'MSFT': 0.16428508206548198, 'JNJ': 0.14628973171402015}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 5}",True,1.2044170705490271,0.0012887116078307435,1.0699878300822248
2018-10-31,2018-11-01,30,29,['WBA'],0.9666666666666667,"['MCD', 'WMT', 'MRK', 'VZ', 'PG']","{'MCD': 0.14538541151059703, 'WMT': 0.13635048846448483, 'MRK': 0.1363424585963613, 'VZ': 0.11047742181102782, 'PG': 0.09101917167442153}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 5}",True,1.5990405756541357,0.0016837750931732814,1.0529908488935513
