signal_date,execution_date,parameters,eligible_members,selected,composite_scores,factor_weight_coverage,latest_filed_dates,target_invested_weight,market_filter_triggered,turnover,transaction_cost,portfolio_value_before_trade
2017-12-29,2018-01-02,"{'style': 'growth_momentum', 'value_weight': 0.1, 'quality_weight': 0.2, 'growth_weight': 0.3, 'momentum_weight': 0.35, 'low_vol_weight': 0.05, 'momentum_lookback': 126, 'top_n': 8, 'weighting': 'equal', 'market_filter': False}",29,"['V', 'AXP', 'UNH', 'MSFT', 'INTC', 'HD', 'AAPL', 'NKE']","{'V': 0.73309934318555, 'AXP': 0.7313624578688099, 'UNH': 0.729301054360038, 'MSFT': 0.6712380088151413, 'INTC': 0.6576672284158672, 'HD': 0.6270894909688013, 'AAPL': 0.6180814104226082, 'NKE': 0.6141338259441708}","{'V': 1.0, 'AXP': 1.0, 'UNH': 1.0, 'MSFT': 1.0, 'INTC': 1.0, 'HD': 1.0, 'AAPL': 1.0, 'NKE': 1.0}","{'V': '2017-11-17', 'AXP': '2017-10-24', 'UNH': '2017-11-07', 'MSFT': '2017-10-26', 'INTC': '2017-10-26', 'HD': '2017-11-21', 'AAPL': '2017-11-03', 'NKE': '2017-07-20'}",1.0,False,0.999000999001,0.000999000999001,1.0
2018-01-31,2018-02-01,"{'style': 'growth_momentum', 'value_weight': 0.1, 'quality_weight': 0.2, 'growth_weight': 0.3, 'momentum_weight': 0.35, 'low_vol_weight': 0.05, 'momentum_lookback': 126, 'top_n': 8, 'weighting': 'equal', 'market_filter': False}",29,"['V', 'HD', 'MSFT', 'AAPL', 'INTC', 'AXP', 'UNH', 'WMT']","{'V': 0.7795279146141215, 'HD': 0.7219745484400657, 'MSFT': 0.7028169561835623, 'AAPL': 0.6914147437559416, 'INTC': 0.6875795091176217, 'AXP': 0.6537023593466424, 'UNH': 0.6376343876933713, 'WMT': 0.6294570477918936}","{'V': 1.0, 'HD': 1.0, 'MSFT': 1.0, 'AAPL': 1.0, 'INTC': 1.0, 'AXP': 1.0, 'UNH': 1.0, 'WMT': 1.0}","{'V': '2017-11-17', 'HD': '2017-11-21', 'MSFT': '2018-01-31', 'AAPL': '2017-11-03', 'INTC': '2017-10-26', 'AXP': '2017-10-24', 'UNH': '2017-11-07', 'WMT': '2017-12-01'}",1.0,False,0.28286981920535914,0.00029618672376157247,1.0470778557911313
2018-02-28,2018-03-01,"{'style': 'growth_momentum', 'value_weight': 0.1, 'quality_weight': 0.2, 'growth_weight': 0.3, 'momentum_weight': 0.35, 'low_vol_weight': 0.05, 'momentum_lookback': 126, 'top_n': 8, 'weighting': 'equal', 'market_filter': False}",30,"['CAT', 'CVX', 'V', 'HD', 'UNH', 'INTC', 'BA', 'PFE']","{'CAT': 0.7414285714285713, 'CVX': 0.7317296113847839, 'V': 0.7250164203612479, 'HD': 0.7138998357963875, 'UNH': 0.6715073027396077, 'INTC': 0.6680945179039552, 'BA': 0.6264079739578833, 'PFE': 0.6083448563938582}","{'CAT': 1.0, 'CVX': 1.0, 'V': 1.0, 'HD': 1.0, 'UNH': 1.0, 'INTC': 1.0, 'BA': 1.0, 'PFE': 1.0}","{'CAT': '2018-02-15', 'CVX': '2018-02-22', 'V': '2017-11-17', 'HD': '2017-11-21', 'UNH': '2018-02-13', 'INTC': '2018-02-16', 'BA': '2018-02-12', 'PFE': '2018-02-22'}",1.0,False,1.019592923808114,0.0010431331173458203,1.0230878353390147
2018-03-29,2018-04-02,"{'style': 'growth_momentum', 'value_weight': 0.1, 'quality_weight': 0.2, 'growth_weight': 0.3, 'momentum_weight': 0.35, 'low_vol_weight': 0.05, 'momentum_lookback': 126, 'top_n': 8, 'weighting': 'equal', 'market_filter': False}",30,"['V', 'CAT', 'HD', 'BA', 'NKE', 'INTC', 'MSFT', 'CVX']","{'V': 0.7367405582922824, 'CAT': 0.7047044334975369, 'HD': 0.6669786535303777, 'BA': 0.6552041022095468, 'NKE': 0.6489816495261141, 'INTC': 0.6416355544032495, 'MSFT': 0.6414366663785902, 'CVX': 0.6277640941434045}","{'V': 1.0, 'CAT': 1.0, 'HD': 1.0, 'BA': 1.0, 'NKE': 1.0, 'INTC': 1.0, 'MSFT': 1.0, 'CVX': 1.0}","{'V': '2017-11-17', 'CAT': '2018-02-15', 'HD': '2018-03-22', 'BA': '2018-02-12', 'NKE': '2017-07-20', 'INTC': '2018-02-16', 'MSFT': '2018-01-31', 'CVX': '2018-02-22'}",1.0,False,0.5284368880580379,0.0005272685321249673,0.9977890341127316
2018-04-30,2018-05-01,"{'style': 'growth_momentum', 'value_weight': 0.1, 'quality_weight': 0.2, 'growth_weight': 0.3, 'momentum_weight': 0.35, 'low_vol_weight': 0.05, 'momentum_lookback': 126, 'top_n': 8, 'weighting': 'equal', 'market_filter': False}",30,"['V', 'NKE', 'CAT', 'INTC', 'AAPL', 'MSFT', 'BA', 'HD']","{'V': 0.7549589490968801, 'NKE': 0.6799667271627344, 'CAT': 0.679704433497537, 'INTC': 0.6718493071759859, 'AAPL': 0.6548415003024803, 'MSFT': 0.6380156137470112, 'BA': 0.6313535274969032, 'HD': 0.6269211822660098}","{'V': 1.0, 'NKE': 1.0, 'CAT': 1.0, 'INTC': 1.0, 'AAPL': 1.0, 'MSFT': 1.0, 'BA': 1.0, 'HD': 1.0}","{'V': '2017-11-17', 'NKE': '2017-07-20', 'CAT': '2018-02-15', 'INTC': '2018-04-27', 'AAPL': '2018-02-02', 'MSFT': '2018-04-26', 'BA': '2018-04-25', 'HD': '2018-03-22'}",1.0,False,0.27361314082715077,0.00028172068655463466,1.029631419393726
2018-05-31,2018-06-01,"{'style': 'growth_momentum', 'value_weight': 0.1, 'quality_weight': 0.2, 'growth_weight': 0.3, 'momentum_weight': 0.35, 'low_vol_weight': 0.05, 'momentum_lookback': 126, 'top_n': 8, 'weighting': 'equal', 'market_filter': False}",30,"['V', 'CVX', 'NKE', 'UNH', 'AAPL', 'HD', 'BA', 'INTC']","{'V': 0.7899589490968801, 'CVX': 0.7709824849480023, 'NKE': 0.6899667271627344, 'UNH': 0.6674046610779824, 'AAPL': 0.6630871143375681, 'HD': 0.6519786535303776, 'BA': 0.6361397747241667, 'INTC': 0.6299688877365829}","{'V': 1.0, 'CVX': 1.0, 'NKE': 1.0, 'UNH': 1.0, 'AAPL': 1.0, 'HD': 1.0, 'BA': 1.0, 'INTC': 1.0}","{'V': '2017-11-17', 'CVX': '2018-05-03', 'NKE': '2017-07-20', 'UNH': '2018-05-07', 'AAPL': '2018-05-02', 'HD': '2018-05-22', 'BA': '2018-04-25', 'INTC': '2018-04-27'}",1.0,False,0.5201640398272122,0.0005730478244020116,1.1016675135643101
2018-06-29,2018-07-02,"{'style': 'growth_momentum', 'value_weight': 0.1, 'quality_weight': 0.2, 'growth_weight': 0.3, 'momentum_weight': 0.35, 'low_vol_weight': 0.05, 'momentum_lookback': 126, 'top_n': 8, 'weighting': 'equal', 'market_filter': False}",30,"['V', 'CVX', 'AAPL', 'NKE', 'UNH', 'CAT', 'INTC', 'MSFT']","{'V': 0.7919540229885058, 'CVX': 0.7243897099069513, 'AAPL': 0.6897049808429119, 'NKE': 0.6715316548075169, 'UNH': 0.6659697135559204, 'CAT': 0.6556403940886699, 'INTC': 0.6504985404123335, 'MSFT': 0.6474243751140303}","{'V': 1.0, 'CVX': 1.0, 'AAPL': 1.0, 'NKE': 1.0, 'UNH': 1.0, 'CAT': 1.0, 'INTC': 1.0, 'MSFT': 1.0}","{'V': '2017-11-17', 'CVX': '2018-05-03', 'AAPL': '2018-05-02', 'NKE': '2017-07-20', 'UNH': '2018-05-07', 'CAT': '2018-05-02', 'INTC': '2018-04-27', 'MSFT': '2018-04-26'}",1.0,False,0.5312043159751338,0.0005789355508383396,1.0898547572520854
2018-07-31,2018-08-01,"{'style': 'growth_momentum', 'value_weight': 0.1, 'quality_weight': 0.2, 'growth_weight': 0.3, 'momentum_weight': 0.35, 'low_vol_weight': 0.05, 'momentum_lookback': 126, 'top_n': 8, 'weighting': 'equal', 'market_filter': False}",30,"['V', 'AAPL', 'CVX', 'UNH', 'MSFT', 'XOM', 'NKE', 'HD']","{'V': 0.8251683087027915, 'AAPL': 0.7329430760810071, 'CVX': 0.7253420908593322, 'UNH': 0.6839855865717935, 'MSFT': 0.6589958036854588, 'XOM': 0.6551391169494618, 'NKE': 0.6481043605181536, 'HD': 0.6422126436781609}","{'V': 1.0, 'AAPL': 1.0, 'CVX': 1.0, 'UNH': 1.0, 'MSFT': 1.0, 'XOM': 1.0, 'NKE': 1.0, 'HD': 1.0}","{'V': '2017-11-17', 'AAPL': '2018-05-02', 'CVX': '2018-05-03', 'UNH': '2018-05-07', 'MSFT': '2018-04-26', 'XOM': '2018-05-03', 'NKE': '2018-07-25', 'HD': '2018-05-22'}",1.0,False,0.5233652893599126,0.0005901922021139108,1.127686940866348
2018-08-31,2018-09-04,"{'style': 'growth_momentum', 'value_weight': 0.1, 'quality_weight': 0.2, 'growth_weight': 0.3, 'momentum_weight': 0.35, 'low_vol_weight': 0.05, 'momentum_lookback': 126, 'top_n': 8, 'weighting': 'equal', 'market_filter': False}",30,"['V', 'AAPL', 'CVX', 'PFE', 'MSFT', 'UNH', 'NKE', 'HD']","{'V': 0.8148727422003285, 'AAPL': 0.7900074803867907, 'CVX': 0.7047427476737822, 'PFE': 0.7001787994891444, 'MSFT': 0.6750439700784528, 'UNH': 0.6600142309797482, 'NKE': 0.6345602992154716, 'HD': 0.5935878489326766}","{'V': 1.0, 'AAPL': 1.0, 'CVX': 1.0, 'PFE': 1.0, 'MSFT': 1.0, 'UNH': 1.0, 'NKE': 1.0, 'HD': 1.0}","{'V': '2017-11-17', 'AAPL': '2018-08-01', 'CVX': '2018-08-02', 'PFE': '2018-08-09', 'MSFT': '2018-08-03', 'UNH': '2018-08-07', 'NKE': '2018-07-25', 'HD': '2018-08-21'}",1.0,False,0.2752598064548068,0.0003235404907938024,1.1754004151961883
2018-09-28,2018-10-01,"{'style': 'growth_momentum', 'value_weight': 0.1, 'quality_weight': 0.2, 'growth_weight': 0.3, 'momentum_weight': 0.35, 'low_vol_weight': 0.05, 'momentum_lookback': 126, 'top_n': 8, 'weighting': 'equal', 'market_filter': False}",30,"['V', 'AAPL', 'PFE', 'UNH', 'CVX', 'MSFT', 'HD', 'XOM']","{'V': 0.8155295566502463, 'AAPL': 0.7752455756248859, 'PFE': 0.6835408684546616, 'UNH': 0.6766808976464149, 'CVX': 0.6762506841817187, 'MSFT': 0.6760598430943259, 'HD': 0.663468801313629, 'XOM': 0.6560121328224776}","{'V': 1.0, 'AAPL': 1.0, 'PFE': 1.0, 'UNH': 1.0, 'CVX': 1.0, 'MSFT': 1.0, 'HD': 1.0, 'XOM': 1.0}","{'V': '2017-11-17', 'AAPL': '2018-08-01', 'PFE': '2018-08-09', 'UNH': '2018-08-07', 'CVX': '2018-08-02', 'MSFT': '2018-08-03', 'HD': '2018-08-21', 'XOM': '2018-08-02'}",1.0,False,0.26816312528516567,0.0003256783080602108,1.2144783430379669
