signal_date,execution_date,model,configuration,selected,predictions,target_invested_weight,market_regime,turnover,transaction_cost,portfolio_value_before_trade
2017-12-29,2018-01-02,ridge_cross_sectional_next_month_return,"{'alpha': 0.1, 'top_n': 30, 'weighting': 'equal', 'rebalance_months': 1}","['INTC', 'VZ', 'NKE', 'GE', 'BA', 'WMT', 'GS', 'IBM', 'CSCO', 'JPM', 'MSFT', 'CAT', 'MRK', 'DIS', 'CVX', 'UNH', 'AXP', 'RTX', 'MMM', 'PFE', 'XOM', 'V', 'AAPL', 'TRV', 'HD', 'JNJ', 'PG', 'KO', 'MCD', 'DD']","{'INTC': 0.006909923925882342, 'VZ': 0.004789411390213271, 'NKE': 0.004540893619244969, 'GE': 0.004049348927652865, 'BA': 0.003881511927488535, 'WMT': 0.0035753132431151674, 'GS': 0.002462446970932255, 'IBM': 0.0020716183848124626, 'CSCO': 0.0018257256046490438, 'JPM': 0.001788304103860484, 'MSFT': 0.0017602162138897932, 'CAT': 0.0015534082253526888, 'MRK': 0.0012489524074570917, 'DIS': 0.0009205561842012773, 'CVX': -3.685476803542357e-05, 'UNH': -9.057532441571735e-05, 'AXP': -0.0008486190497736452, 'RTX': -0.001730540162102038, 'MMM': -0.00184438957534509, 'PFE': -0.002674292714029574, 'XOM': -0.0032161655335542147, 'V': -0.003555405177760896, 'AAPL': -0.003598285551544135, 'TRV': -0.0036903341045649365, 'HD': -0.0037502259822290852, 'JNJ': -0.004379521536464521, 'PG': -0.004381633561714298, 'KO': -0.005922375747704129, 'MCD': -0.006200888454984154, 'DD': -0.012484620742750932}",0.8284,"{'formula_version': 'market-regime-cash-v1', 'benchmark': 'DIA', 'as_of_date': '2017-12-29', 'data_quality': 'complete', 'observations': 1066, 'regime': 'risk_on', 'target_cash_weight': 0.1716, 'target_equity_weight': 0.8284, 'scores': {'overheat': 0.468326, 'fear': 0.0, 'outlook': 0.955004}, 'components': {'overheat': {'distance_above_200d': 0.529663, 'rsi': 0.631973, 'six_month_momentum': 0.243341}, 'fear': {'drawdown': 0.0, 'rsi': 0.0, 'realized_volatility': 0.0}, 'outlook': {'price_vs_200d': 1.0, '50d_vs_200d': 1.0, 'six_month_momentum': 0.865012}}, 'metrics': {'close': 210.4273376464844, 'sma_50': 202.84923095703124, 'sma_200': 186.30964363098144, 'distance_to_sma_200': 0.12944952040846713, 'sma_50_to_sma_200': 0.08877472472015091, 'momentum_126': 0.17300232039086016, 'rsi_14': 72.63945207025995, 'drawdown_from_252d_peak': -0.003022258440002701, 'realized_volatility_20': 0.05071317301123598}, 'rationale': ['가격의 장기 추세 이격·RSI·6개월 상승률이 과열 현금 확대 요인', '200일 추세·50/200일 추세·6개월 모멘텀이 긍정적이라 현금 축소']}",0.827714321455716,0.000827714321455716,1.0
2018-01-31,2018-02-01,ridge_cross_sectional_next_month_return,"{'alpha': 0.1, 'top_n': 30, 'weighting': 'equal', 'rebalance_months': 1}","['INTC', 'VZ', 'GE', 'GS', 'CVX', 'WMT', 'BA', 'MSFT', 'CSCO', 'MRK', 'IBM', 'DIS', 'UNH', 'TRV', 'NKE', 'CAT', 'JPM', 'AAPL', 'PFE', 'HD', 'RTX', 'MMM', 'XOM', 'PG', 'JNJ', 'V', 'AXP', 'KO', 'MCD', 'DD']","{'INTC': 0.007946083059404255, 'VZ': 0.005407128609978171, 'GE': 0.0040367457210508705, 'GS': 0.0038148998134368427, 'CVX': 0.003745327497883409, 'WMT': 0.003688398907486667, 'BA': 0.0033590029720227954, 'MSFT': 0.002494875239885353, 'CSCO': 0.0024781492811064582, 'MRK': 0.0020572988656009416, 'IBM': 0.0019321854547785242, 'DIS': 0.0015746153956187761, 'UNH': 0.0005240914664535497, 'TRV': 0.0005122935882689459, 'NKE': 0.0004831476924353293, 'CAT': -0.00029454289206985555, 'JPM': -0.0014921695022668277, 'AAPL': -0.001669861323847209, 'PFE': -0.0019092854106549887, 'HD': -0.0020373725608411274, 'RTX': -0.0029792568168936825, 'MMM': -0.0029938030174001306, 'XOM': -0.003618642781351703, 'PG': -0.003694485263010631, 'JNJ': -0.0038198061986855327, 'V': -0.004362199429988984, 'AXP': -0.004411928310206436, 'KO': -0.006262826327494915, 'MCD': -0.0067626994253196055, 'DD': -0.014796581093476036}",0.8198,"{'formula_version': 'market-regime-cash-v1', 'benchmark': 'DIA', 'as_of_date': '2018-01-31', 'data_quality': 'complete', 'observations': 1087, 'regime': 'risk_on', 'target_cash_weight': 0.1802, 'target_equity_weight': 0.8198, 'scores': {'overheat': 0.520807, 'fear': 0.0, 'outlook': 1.0}, 'components': {'overheat': {'distance_above_200d': 0.757664, 'rsi': 0.45682, 'six_month_momentum': 0.347936}, 'fear': {'drawdown': 0.0, 'rsi': 0.0, 'realized_volatility': 0.0}, 'outlook': {'price_vs_200d': 1.0, '50d_vs_200d': 1.0, 'six_month_momentum': 1.0}}, 'metrics': {'close': 222.51028442382807, 'sma_50': 211.75947326660156, 'sma_200': 191.2176001739502, 'distance_to_sma_200': 0.16364960244983195, 'sma_50_to_sma_200': 0.10742668600570493, 'momentum_126': 0.2043808690346225, 'rsi_14': 69.13640371783657, 'drawdown_from_252d_peak': -0.016809680798983484, 'realized_volatility_20': 0.09553339102643729}, 'rationale': ['가격의 장기 추세 이격·RSI·6개월 상승률이 과열 현금 확대 요인', '200일 추세·50/200일 추세·6개월 모멘텀이 긍정적이라 현금 축소']}",0.03431388735368265,3.538820443789443e-05,1.031308521623869
2018-02-28,2018-03-01,ridge_cross_sectional_next_month_return,"{'alpha': 0.1, 'top_n': 30, 'weighting': 'equal', 'rebalance_months': 1}","['INTC', 'GS', 'IBM', 'GE', 'CAT', 'DD', 'BA', 'MSFT', 'CVX', 'WMT', 'CSCO', 'NKE', 'MRK', 'UNH', 'DIS', 'RTX', 'VZ', 'TRV', 'HD', 'MMM', 'JPM', 'PFE', 'AXP', 'XOM', 'V', 'AAPL', 'PG', 'KO', 'JNJ', 'MCD']","{'INTC': 0.00842093110169933, 'GS': 0.005699639995426121, 'IBM': 0.005158236529932673, 'GE': 0.004083412691733437, 'CAT': 0.004062815385663071, 'DD': 0.003183329076986096, 'BA': 0.002938318353424154, 'MSFT': 0.002907076575945734, 'CVX': 0.002669657630017866, 'WMT': 0.0022702477437820307, 'CSCO': 0.0018208815315968907, 'NKE': 0.0011596476997785328, 'MRK': 0.000513389887046925, 'UNH': 0.00036961000978133637, 'DIS': 1.7127263032200188e-05, 'RTX': -0.00043038494809525196, 'VZ': -0.0006576094246884404, 'TRV': -0.0006781047432882296, 'HD': -0.001053958809702638, 'MMM': -0.0013502844641954794, 'JPM': -0.0019739922837792123, 'PFE': -0.0022484893460201307, 'AXP': -0.002897938253824344, 'XOM': -0.0035669155311893706, 'V': -0.004083201150334329, 'AAPL': -0.00414245955063625, 'PG': -0.004881840228957206, 'KO': -0.00607639853970779, 'JNJ': -0.006421827488645373, 'MCD': -0.008642170713854634}",0.916,"{'formula_version': 'market-regime-cash-v1', 'benchmark': 'DIA', 'as_of_date': '2018-02-28', 'data_quality': 'complete', 'observations': 1106, 'regime': 'risk_on', 'target_cash_weight': 0.084, 'target_equity_weight': 0.916, 'scores': {'overheat': 0.168307, 'fear': 0.108054, 'outlook': 0.919128}, 'components': {'overheat': {'distance_above_200d': 0.303888, 'rsi': 0.0, 'six_month_momentum': 0.201034}, 'fear': {'drawdown': 0.0, 'rsi': 0.0, 'realized_volatility': 0.324161}, 'outlook': {'price_vs_200d': 0.955832, '50d_vs_200d': 1.0, 'six_month_momentum': 0.801551}}, 'metrics': {'close': 213.48928833007807, 'sma_50': 215.10442901611327, 'sma_200': 194.8636092376709, 'distance_to_sma_200': 0.09558315770334436, 'sma_50_to_sma_200': 0.10387172780811582, 'momentum_126': 0.16031020923216932, 'rsi_14': 52.35185526670399, 'drawdown_from_252d_peak': -0.05667011265224209, 'realized_volatility_20': 0.29724833253553684}, 'rationale': ['200일 추세·50/200일 추세·6개월 모멘텀이 긍정적이라 현금 축소']}",0.10298246610175105,0.00010256125815549,0.9959099061985477
2018-03-29,2018-04-02,ridge_cross_sectional_next_month_return,"{'alpha': 0.1, 'top_n': 30, 'weighting': 'equal', 'rebalance_months': 1}","['GS', 'INTC', 'IBM', 'CSCO', 'NKE', 'GE', 'BA', 'MSFT', 'CAT', 'WMT', 'DD', 'DIS', 'CVX', 'MMM', 'MRK', 'HD', 'JPM', 'RTX', 'UNH', 'AXP', 'TRV', 'AAPL', 'XOM', 'V', 'PFE', 'VZ', 'JNJ', 'PG', 'KO', 'MCD']","{'GS': 0.006108307578498529, 'INTC': 0.005743734113247084, 'IBM': 0.004477335370351101, 'CSCO': 0.0040813482926260955, 'NKE': 0.004021603805562984, 'GE': 0.0037734051830641486, 'BA': 0.0035877003016391977, 'MSFT': 0.0028272140581167794, 'CAT': 0.00261624362296419, 'WMT': 0.001714201741412884, 'DD': 0.001157308972255222, 'DIS': 0.0006740846785352163, 'CVX': 0.00044670878845614925, 'MMM': 0.00031319179099967417, 'MRK': 0.00031148687180079153, 'HD': -0.00010159733220778383, 'JPM': -0.0003652001908862713, 'RTX': -0.001059737133794589, 'UNH': -0.0011404626935959353, 'AXP': -0.0013235345985046789, 'TRV': -0.002511817119148692, 'AAPL': -0.0030550727765879136, 'XOM': -0.0032017532206962294, 'V': -0.00320944483016309, 'PFE': -0.0033544492666398285, 'VZ': -0.00390961482257632, 'JNJ': -0.004168067964334642, 'PG': -0.004894383346388672, 'KO': -0.006093171375267458, 'MCD': -0.0073230913579499035}",0.929,"{'formula_version': 'market-regime-cash-v1', 'benchmark': 'DIA', 'as_of_date': '2018-03-29', 'data_quality': 'complete', 'observations': 1127, 'regime': 'risk_on', 'target_cash_weight': 0.071, 'target_equity_weight': 0.929, 'scores': {'overheat': 0.0, 'fear': 0.119215, 'outlook': 0.611315}, 'components': {'overheat': {'distance_above_200d': 0.0, 'rsi': 0.0, 'six_month_momentum': 0.0}, 'fear': {'drawdown': 0.037211, 'rsi': 0.289495, 'realized_volatility': 0.030939}, 'outlook': {'price_vs_200d': 0.402951, '50d_vs_200d': 0.964747, 'six_month_momentum': 0.466246}}, 'metrics': {'close': 206.356689453125, 'sma_50': 213.6732614135742, 'sma_200': 198.3636043548584, 'distance_to_sma_200': 0.040295119279883274, 'sma_50_to_sma_200': 0.0771797684787372, 'momentum_126': 0.0932492759052288, 'rsi_14': 34.21010529359319, 'drawdown_from_252d_peak': -0.0881864184478286, 'realized_volatility_20': 0.2092816679511045}, 'rationale': ['200일 추세·50/200일 추세·6개월 모멘텀이 긍정적이라 현금 축소']}",0.027752880680404372,2.693025814341632e-05,0.9703590215927067
2018-04-30,2018-05-01,ridge_cross_sectional_next_month_return,"{'alpha': 0.1, 'top_n': 30, 'weighting': 'equal', 'rebalance_months': 1}","['INTC', 'CSCO', 'NKE', 'GE', 'MSFT', 'BA', 'IBM', 'CAT', 'GS', 'DD', 'WMT', 'AAPL', 'MRK', 'DIS', 'MMM', 'AXP', 'HD', 'JPM', 'TRV', 'V', 'RTX', 'CVX', 'UNH', 'JNJ', 'VZ', 'XOM', 'PFE', 'PG', 'KO', 'MCD']","{'INTC': 0.005720316682581133, 'CSCO': 0.004450626797540882, 'NKE': 0.004138243750340827, 'GE': 0.0037734051830641486, 'MSFT': 0.003487737892005274, 'BA': 0.0031467071749083767, 'IBM': 0.0029584463440513902, 'CAT': 0.0021874191095042597, 'GS': 0.001956192675102692, 'DD': 0.00165098927535823, 'WMT': 0.0015892453227172344, 'AAPL': 0.0014164424696752067, 'MRK': 0.0005657697731005498, 'DIS': 0.00021878619510916494, 'MMM': -0.0001964708549376452, 'AXP': -0.000374253108557619, 'HD': -0.000632426090235392, 'JPM': -0.001050115528812099, 'TRV': -0.0012785327925954183, 'V': -0.0018006636820469986, 'RTX': -0.001809972763307318, 'CVX': -0.0018574789516785798, 'UNH': -0.0019084599211375355, 'JNJ': -0.0029617596452018126, 'VZ': -0.0030799623814108277, 'XOM': -0.0037290492171373276, 'PFE': -0.004335154909617135, 'PG': -0.004572131409008671, 'KO': -0.0053752813167215405, 'MCD': -0.006161411997616126}",0.8852,"{'formula_version': 'market-regime-cash-v1', 'benchmark': 'DIA', 'as_of_date': '2018-04-30', 'data_quality': 'complete', 'observations': 1148, 'regime': 'neutral', 'target_cash_weight': 0.1148, 'target_equity_weight': 0.8852, 'scores': {'overheat': 0.0, 'fear': 0.010862, 'outlook': 0.335699}, 'components': {'overheat': {'distance_above_200d': 0.0, 'rsi': 0.0, 'six_month_momentum': 0.0}, 'fear': {'drawdown': 0.032586, 'rsi': 0.0, 'realized_volatility': 0.0}, 'outlook': {'price_vs_200d': 0.263991, '50d_vs_200d': 0.52598, 'six_month_momentum': 0.217127}}, 'metrics': {'close': 206.58697509765625, 'sma_50': 209.74280334472655, 'sma_200': 201.2735359954834, 'distance_to_sma_200': 0.026399094525233924, 'sma_50_to_sma_200': 0.04207839499293731, 'momentum_126': 0.043425492199867355, 'rsi_14': 44.84540621457112, 'drawdown_from_252d_peak': -0.0871688716996395, 'realized_volatility_20': 0.17289871815922359}, 'rationale': ['200일 추세·50/200일 추세·6개월 모멘텀이 긍정적이라 현금 축소']}",0.05474201700102729,5.359269401469831e-05,0.9790047380550955
2018-05-31,2018-06-01,ridge_cross_sectional_next_month_return,"{'alpha': 0.1, 'top_n': 30, 'weighting': 'equal', 'rebalance_months': 1}","['CSCO', 'INTC', 'NKE', 'GE', 'BA', 'MSFT', 'DIS', 'AAPL', 'MRK', 'CVX', 'IBM', 'AXP', 'CAT', 'DD', 'HD', 'UNH', 'GS', 'V', 'JPM', 'RTX', 'XOM', 'WMT', 'MMM', 'VZ', 'PFE', 'PG', 'KO', 'TRV', 'JNJ', 'MCD']","{'CSCO': 0.005032279710218818, 'INTC': 0.004357220063381587, 'NKE': 0.003783554428987961, 'GE': 0.0037734051830641486, 'BA': 0.003584710377472185, 'MSFT': 0.0034815993078742783, 'DIS': 0.0033414478600829692, 'AAPL': 0.002442128614056843, 'MRK': 0.0015962800223081944, 'CVX': 0.0014817067932021565, 'IBM': 0.0007427607503901909, 'AXP': 0.0007317068120620801, 'CAT': 0.0007020581368293444, 'DD': 0.0006024811728317564, 'HD': 0.000420096190635338, 'UNH': 0.0002423777245115739, 'GS': 6.718210482261028e-06, 'V': -0.0010456273303583632, 'JPM': -0.0015815527175032538, 'RTX': -0.0018945809445546566, 'XOM': -0.0020706982879149377, 'WMT': -0.002187698674989712, 'MMM': -0.0022224520017557403, 'VZ': -0.0024144935500676245, 'PFE': -0.0035797440537679247, 'PG': -0.004231680829217884, 'KO': -0.0043539295773491835, 'TRV': -0.004504737131747606, 'JNJ': -0.004801809939229594, 'MCD': -0.0053194426101125765}",0.8732,"{'formula_version': 'market-regime-cash-v1', 'benchmark': 'DIA', 'as_of_date': '2018-05-31', 'data_quality': 'complete', 'observations': 1170, 'regime': 'neutral', 'target_cash_weight': 0.1268, 'target_equity_weight': 0.8732, 'scores': {'overheat': 0.0, 'fear': 0.0, 'outlook': 0.232312}, 'components': {'overheat': {'distance_above_200d': 0.0, 'rsi': 0.0, 'six_month_momentum': 0.0}, 'fear': {'drawdown': 0.0, 'rsi': 0.0, 'realized_volatility': 0.0}, 'outlook': {'price_vs_200d': 0.255386, '50d_vs_200d': 0.264573, 'six_month_momentum': 0.176978}}, 'metrics': {'close': 209.4341583251953, 'sma_50': 208.54116333007812, 'sma_200': 204.21870178222656, 'distance_to_sma_200': 0.025538584358108185, 'sma_50_to_sma_200': 0.021165845782630255, 'momentum_126': 0.03539556846484038, 'rsi_14': 43.785816174513876, 'drawdown_from_252d_peak': -0.07458822629910655, 'realized_volatility_20': 0.12425937591400096}, 'rationale': ['200일 추세·50/200일 추세·6개월 모멘텀이 긍정적이라 현금 축소']}",0.03087425549067857,3.0794611496661247e-05,0.9974203752365343
2018-06-29,2018-07-02,ridge_cross_sectional_next_month_return,"{'alpha': 0.1, 'top_n': 30, 'weighting': 'equal', 'rebalance_months': 1}","['INTC', 'NKE', 'BA', 'MRK', 'WBA', 'MSFT', 'CSCO', 'AAPL', 'CAT', 'CVX', 'XOM', 'DD', 'AXP', 'IBM', 'UNH', 'DIS', 'V', 'HD', 'RTX', 'GS', 'MMM', 'VZ', 'JPM', 'WMT', 'JNJ', 'KO', 'TRV', 'MCD', 'PFE', 'PG']","{'INTC': 0.005025543381248861, 'NKE': 0.00495660507650061, 'BA': 0.00422147967731352, 'MRK': 0.004216373480767513, 'WBA': 0.0041524389496775385, 'MSFT': 0.0032911850844636356, 'CSCO': 0.0022702406961412915, 'AAPL': 0.0018781150179701645, 'CAT': 0.001820962436898551, 'CVX': 0.0010230126510855364, 'XOM': 0.0007485860925712856, 'DD': 0.0006768886723793276, 'AXP': 7.444482751382846e-05, 'IBM': 5.927003572068362e-05, 'UNH': -0.0003165702216642092, 'DIS': -0.0006032479362636786, 'V': -0.0006066428393840522, 'HD': -0.0008742853247748424, 'RTX': -0.0010094725943698717, 'GS': -0.001604931096857509, 'MMM': -0.0018966813940379695, 'VZ': -0.0024913621190170657, 'JPM': -0.002709886666862837, 'WMT': -0.0027875438421022638, 'JNJ': -0.003172296025957506, 'KO': -0.0032349205941585007, 'TRV': -0.0035127059021654423, 'MCD': -0.0042240777250228834, 'PFE': -0.004555034746376827, 'PG': -0.004913412884152799}",0.9078,"{'formula_version': 'market-regime-cash-v1', 'benchmark': 'DIA', 'as_of_date': '2018-06-29', 'data_quality': 'complete', 'observations': 1191, 'regime': 'neutral', 'target_cash_weight': 0.0922, 'target_equity_weight': 0.9078, 'scores': {'overheat': 0.0, 'fear': 0.333333, 'outlook': 0.077635}, 'components': {'overheat': {'distance_above_200d': 0.0, 'rsi': 0.0, 'six_month_momentum': 0.0}, 'fear': {'drawdown': 0.0, 'rsi': 1.0, 'realized_volatility': 0.0}, 'outlook': {'price_vs_200d': 0.064228, '50d_vs_200d': 0.229406, 'six_month_momentum': -0.060731}}, 'metrics': {'close': 208.5016021728516, 'sma_50': 210.97307495117187, 'sma_200': 207.17097518920897, 'distance_to_sma_200': 0.0064228446211027634, 'sma_50_to_sma_200': 0.0183524731613125, 'momentum_126': -0.012146146166842842, 'rsi_14': 19.034509470764945, 'drawdown_from_252d_peak': -0.07870884563798286, 'realized_volatility_20': 0.1017594335999654}, 'rationale': ['과열·공포·전망 신호가 중립 범위라 기준 현금비중에 근접']}",0.09906034466378916,9.803124877368471e-05,0.9896114242929681
2018-07-31,2018-08-01,ridge_cross_sectional_next_month_return,"{'alpha': 0.1, 'top_n': 30, 'weighting': 'equal', 'rebalance_months': 1}","['NKE', 'MSFT', 'MRK', 'BA', 'CSCO', 'INTC', 'WBA', 'DD', 'XOM', 'AXP', 'V', 'AAPL', 'CVX', 'IBM', 'MMM', 'JPM', 'UNH', 'JNJ', 'RTX', 'MCD', 'HD', 'GS', 'DIS', 'PFE', 'WMT', 'KO', 'CAT', 'TRV', 'PG', 'VZ']","{'NKE': 0.004215001544999592, 'MSFT': 0.0036557599791635725, 'MRK': 0.003277353983441877, 'BA': 0.0028631151986096355, 'CSCO': 0.0025491082357220808, 'INTC': 0.002412683228978451, 'WBA': 0.002392037259239226, 'DD': 0.001781518053112017, 'XOM': 0.0014354981867013463, 'AXP': 0.001429963693442466, 'V': 0.0013554073317290894, 'AAPL': 0.0013504102382919268, 'CVX': 0.0009730382777698832, 'IBM': 0.00024346600629265153, 'MMM': 6.954088727593202e-05, 'JPM': -0.00022514266712656694, 'UNH': -0.0008375319912122588, 'JNJ': -0.0010077832599829787, 'RTX': -0.0011850138596298356, 'MCD': -0.0011996552139817635, 'HD': -0.0017775790452755733, 'GS': -0.001884931392278776, 'DIS': -0.0021965085241818175, 'PFE': -0.0023788673418998637, 'WMT': -0.002747386767759505, 'KO': -0.0027944685244099573, 'CAT': -0.0028046294746807065, 'TRV': -0.003677414173544041, 'PG': -0.004151902077641285, 'VZ': -0.0052017070421032765}",0.8065,"{'formula_version': 'market-regime-cash-v1', 'benchmark': 'DIA', 'as_of_date': '2018-07-31', 'data_quality': 'complete', 'observations': 1212, 'regime': 'neutral', 'target_cash_weight': 0.1935, 'target_equity_weight': 0.8065, 'scores': {'overheat': 0.250068, 'fear': 0.0, 'outlook': 0.19027}, 'components': {'overheat': {'distance_above_200d': 0.0, 'rsi': 0.750204, 'six_month_momentum': 0.0}, 'fear': {'drawdown': 0.0, 'rsi': 0.0, 'realized_volatility': 0.0}, 'outlook': {'price_vs_200d': 0.423388, '50d_vs_200d': 0.219708, 'six_month_momentum': -0.072286}}, 'metrics': {'close': 218.60562133789065, 'sma_50': 213.41234680175782, 'sma_200': 209.72606300354005, 'distance_to_sma_200': 0.04233884051979131, 'sma_50_to_sma_200': 0.017576660456147364, 'momentum_126': -0.0144571356202855, 'rsi_14': 75.00407453035074, 'drawdown_from_252d_peak': -0.034062937005886806, 'realized_volatility_20': 0.08938066619708511}, 'rationale': ['과열·공포·전망 신호가 중립 범위라 기준 현금비중에 근접']}",0.10568329528152118,0.00010968834721413956,1.0378967359216955
2018-08-31,2018-09-04,ridge_cross_sectional_next_month_return,"{'alpha': 0.1, 'top_n': 30, 'weighting': 'equal', 'rebalance_months': 1}","['NKE', 'WBA', 'AAPL', 'INTC', 'MRK', 'MSFT', 'MCD', 'DD', 'AXP', 'CVX', 'JNJ', 'DIS', 'CSCO', 'XOM', 'JPM', 'PG', 'MMM', 'IBM', 'V', 'UNH', 'BA', 'KO', 'CAT', 'VZ', 'PFE', 'GS', 'WMT', 'TRV', 'HD', 'RTX']","{'NKE': 0.005589865560581261, 'WBA': 0.0045033918249435525, 'AAPL': 0.00433312321364988, 'INTC': 0.0034289248185562526, 'MRK': 0.0028520982436472746, 'MSFT': 0.002778746514637352, 'MCD': 0.0018962336475196644, 'DD': 0.0016450737566084056, 'AXP': 0.0013439620124435854, 'CVX': 0.0009113740539868657, 'JNJ': 0.00040625789023443254, 'DIS': -2.7291030071686982e-05, 'CSCO': -7.561638765945733e-05, 'XOM': -0.00013253627546963646, 'JPM': -0.00015513031026880594, 'PG': -0.0004937456886238357, 'MMM': -0.0007001728649476187, 'IBM': -0.0007365361204458913, 'V': -0.0009113683769899028, 'UNH': -0.0014710412658748514, 'BA': -0.001543205432588969, 'KO': -0.0017050068300814448, 'CAT': -0.0018372564320395936, 'VZ': -0.002189613808956606, 'PFE': -0.002210668282946221, 'GS': -0.0029626223470602194, 'WMT': -0.0032527584586730437, 'TRV': -0.003514162947633329, 'HD': -0.0048187176790141706, 'RTX': -0.005193219785054635}",0.8247,"{'formula_version': 'market-regime-cash-v1', 'benchmark': 'DIA', 'as_of_date': '2018-08-31', 'data_quality': 'complete', 'observations': 1235, 'regime': 'risk_on', 'target_cash_weight': 0.1753, 'target_equity_weight': 0.8247, 'scores': {'overheat': 0.243885, 'fear': 0.0, 'outlook': 0.357093}, 'components': {'overheat': {'distance_above_200d': 0.030214, 'rsi': 0.701441, 'six_month_momentum': 0.0}, 'fear': {'drawdown': 0.0, 'rsi': 0.0, 'realized_volatility': 0.0}, 'outlook': {'price_vs_200d': 0.545321, '50d_vs_200d': 0.252023, 'six_month_momentum': 0.273935}}, 'metrics': {'close': 223.961654663086, 'sma_50': 216.6620980834961, 'sma_200': 212.38012649536134, 'distance_to_sma_200': 0.05453207114450809, 'sma_50_to_sma_200': 0.020161828033510742, 'momentum_126': 0.05478700239594492, 'rsi_14': 74.02881595068887, 'drawdown_from_252d_peak': -0.010396614668085835, 'realized_volatility_20': 0.09250183873710656}, 'rationale': ['200일 추세·50/200일 추세·6개월 모멘텀이 긍정적이라 현금 축소']}",0.03018102513552114,3.1988460804009655e-05,1.059886490282309
2018-09-28,2018-10-01,ridge_cross_sectional_next_month_return,"{'alpha': 0.1, 'top_n': 30, 'weighting': 'equal', 'rebalance_months': 1}","['MRK', 'WBA', 'AAPL', 'MCD', 'NKE', 'VZ', 'XOM', 'CVX', 'DD', 'AXP', 'WMT', 'DIS', 'PG', 'JNJ', 'MMM', 'UNH', 'KO', 'V', 'MSFT', 'IBM', 'INTC', 'CAT', 'PFE', 'HD', 'CSCO', 'BA', 'JPM', 'GS', 'TRV', 'RTX']","{'MRK': 0.004953777800011972, 'WBA': 0.004841288051308654, 'AAPL': 0.004260649773785051, 'MCD': 0.0037428947612539562, 'NKE': 0.0031404703400876996, 'VZ': 0.002865089235209194, 'XOM': 0.0028127396694363387, 'CVX': 0.0023331831254063246, 'DD': 0.0020057883190283867, 'AXP': 0.0019414662205899684, 'WMT': 0.00150583795619716, 'DIS': 0.0008518442057872116, 'PG': 0.0006126418482859208, 'JNJ': 0.0005954529864717138, 'MMM': -0.00040748399431930966, 'UNH': -0.0007617668818120744, 'KO': -0.0007932516170279393, 'V': -0.0008497593663701104, 'MSFT': -0.0009382314589091391, 'IBM': -0.0010958367146123543, 'INTC': -0.0017308362980011504, 'CAT': -0.0017984317988531183, 'PFE': -0.0025378816254921456, 'HD': -0.002656402351420672, 'CSCO': -0.002905851989924164, 'BA': -0.0040525910508384545, 'JPM': -0.004414300181651184, 'GS': -0.0049138429995330395, 'TRV': -0.005246744631090753, 'RTX': -0.0056085398266939885}",0.8473,"{'formula_version': 'market-regime-cash-v1', 'benchmark': 'DIA', 'as_of_date': '2018-09-28', 'data_quality': 'complete', 'observations': 1254, 'regime': 'risk_on', 'target_cash_weight': 0.1527, 'target_equity_weight': 0.8473, 'scores': {'overheat': 0.24364, 'fear': 0.0, 'outlook': 0.581783}, 'components': {'overheat': {'distance_above_200d': 0.09334, 'rsi': 0.533646, 'six_month_momentum': 0.103935}, 'fear': {'drawdown': 0.0, 'rsi': 0.0, 'realized_volatility': 0.0}, 'outlook': {'price_vs_200d': 0.640009, '50d_vs_200d': 0.449437, 'six_month_momentum': 0.655903}}, 'metrics': {'close': 228.35012817382807, 'sma_50': 222.33104461669922, 'sma_200': 214.6145918273926, 'distance_to_sma_200': 0.0640009434096751, 'sma_50_to_sma_200': 0.03595493076031242, 'momentum_126': 0.13118051701636246, 'rsi_14': 70.67292095063132, 'drawdown_from_252d_peak': -0.01018274358513771, 'realized_volatility_20': 0.06505412309223549}, 'rationale': ['200일 추세·50/200일 추세·6개월 모멘텀이 긍정적이라 현금 축소']}",0.029142903587663728,3.156223230776498e-05,1.0830160492698935
